,User id,Club,Genre,Age,Zone géographique,Occupation,Sport,Film,Interactions en ligne,Revenu,Permis de conduire,Motorisé,Que faites vous pendant votre temps libre?,Vous aimez les jeux videos?,vous préférez quelles marques,Que fais tu pendant ton temps libre?,En général quel type d'information as tu besoin?,"Plus globalement, as-tu des projets personnels ?",T’intéresses tu à la politique ?,Vois-tu un intérêt à voter ?,"D’après toi, qu’est-ce qui manque le plus aux jeunes de ton âge?",Vous disposez (plusieurs réponses possible),vous êtes ,combien de voitures disposez vous dans votre famille,j'habite?,Pour me déplacer je prends ,As-tu accès à internet facilement?
2863,629e447ada298a002a12c9a9,"club, africain",homme,entre 18 24 an,sousse,luniversité,,comédie,facebook instagram snapshat,inferieur 400 dtn mois,false,false,sortie entre amis,oui,nike lacoste bos prada,internet sortie entre amis lecture tvjeux vidéos activités associatives,etudesformations offres demploi métiers vie pratique transport horaires d’ouverture différentes structure projets létranger voyage études emplois,projet humanitaire carritatif,false,true,évènements culturels transport sécurité instance donner avis lieux où demander conseils,sèche linge,propiétaire,aucune,,autre,
2864,62079e09807e1a0020371aac,,,entre 18 24 an,bizerte,luniversité,basketball,horreur,facebook instagram tik tok,entre 1000 1800 dtn mois,false,true,activités associatives,oui,chanel saint laurent dior louis vuitton,tvjeux vidéos activités sportives internet sortie entre amis activités associatives,sport losirs etudesformations offres demploi métiers vie pratique transport horaires d’ouverture différentes structure projets létranger voyage études emplois santé autre,projet particulier,false,false,évènements culturels espaces jeunes lieux où s’informer lieux où demander conseils,chauffage central,propiétaire,plus 2,,metro,
2865,62307a9ccccc1c001f6e4b06,,,moins 18 an,tunis,,,horreur,facebook tik tok instagram,plus der 5000 dtn mois,,true,activités sportives,oui,chanel saint laurent dior louis vuitton,tvjeux vidéos activités sportives sortie entre amis,etudesformations métiers vie pratique transport horaires d’ouverture différentes structure sport losirs,voyage,false,true,espaces jeunes transport structure sportives lieux où s’informer,machine a laver automatique,propiétaire,1,,,
2866,6222805f6d818c001e2ae17a,"club, africain",femme,entre 18 24 an,bizerte,luniversité,"gymnastique, danse",romantique,instagram facebook,entre 650 1200 dtn mois,false,true,tvjeux vidéos internet lecture sortie entre amis,oui,chanel saint laurent dior louis vuitton,sortie entre amis,offres demploi etudesformations,projet detudes projet professionnel,false,false,évènements culturels sécurité lieux où s’informer structure sportives espaces jeunes,chauffage central,propiétaire,aucune,foyer,taxi,true
2867,6206c042807e1a002036200b,"club, africain",homme,,,,,action,instagram,entre 1200 1800 dtn mois,true,false,activités associatives,non,chanel saint laurent dior louis vuitton,tvjeux vidéos,vie pratique transport horaires d’ouverture différentes structure,projet particulier,false,false,évènements culturels,chauffage central,locataire,aucune,,voiture,
2868,62066364b8dde6001f56b1da,,femme,entre 25 34 an,jendouba,recherche dun emploi,danse,horreur,facebook,entre 1000 1800 dtn mois,false,false,activités sportives,non,nike lacoste bos prada,internet tvjeux vidéos,etudesformations offres demploi métiers santé projets létranger voyage études emplois,projet particulier,false,false,évènements culturels transport espaces jeunes sécurité instance donner avis lieux où s’informer,aucun,locataire,aucune,"chez, parent",taxi,
2869,62516e0a119763001f7fa48d,"club, africain",homme,,gabes,lycée,football,action,facebook instagram autre tik tok,entre 400 650 dtn mois,,false,sortie entre amis,oui,nike lacoste bos prada,sortie entre amis,autre,projet humanitaire carritatif,false,true,espaces jeunes,lave vaisselle,locataire,2,"chez, parent",bus,false
2870,62825c579d6323002b8dcff3,,homme,,,,,,facebook,plus der 5000 dtn mois,,false,,,,activités sportives,etudesformations,voyage,false,false,autre,aucun,propiétaire,aucune,,,
2871,62076c3cb8dde6001f581497,tunis,homme,,tunis,entrepreneur,football,action,facebook instagram tik tok,entre 650 1200 dtn mois,true,true,tvjeux vidéos internet sortie entre amis,oui,nike lacoste bos prada,tvjeux vidéos internet,offres demploi vie pratique transport horaires d’ouverture différentes structure,projet professionnel,false,false,évènements culturels espaces jeunes lieux où demander conseils structure sportives,congélateur hors celui réfrigérateur,propiétaire,1,,,
2872,62359630a92c39001fd2a656,"c, sfaxien",homme,entre 25 34 an,tunis,,,action,facebook,inferieur 400 dtn mois,true,true,activités sportives,oui,chanel saint laurent dior louis vuitton,tvjeux vidéos,etudesformations,voyage,false,false,évènements culturels,climatiseur,propiétaire,aucune,,,
